Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
OrangeHRM,Chrome 67.0.3396.99,,2018-07-24 15:30:08,2018-07-24 15:30:30,21.320s,FAILED
,,,,,,
Test Cases/OrangeHRM Login/Login - Orange HRM,Chrome 67.0.3396.99,,2018-07-24 15:30:09,2018-07-24 15:30:22,13.144s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 15:30:09,2018-07-24 15:30:12,2.839s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 15:30:12,2018-07-24 15:30:17,4.880s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 15:30:17,2018-07-24 15:30:17,0.145s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-24 15:30:17,2018-07-24 15:30:17,0.276s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:30:17,2018-07-24 15:30:21,4.110s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-24 15:30:21,2018-07-24 15:30:22,0.611s,PASSED
,,,,,,
Test Cases/ValidateLinks/ValidateLinks,Chrome 67.0.3396.99,,2018-07-24 15:30:22,2018-07-24 15:30:29,7.260s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 15:30:22,2018-07-24 15:30:24,1.944s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 15:30:24,2018-07-24 15:30:29,4.712s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 15:30:29,2018-07-24 15:30:29,0.111s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-24 15:30:29,2018-07-24 15:30:29,0.337s,FAILED
